room,accessory,suggested_name,type,entity_id
Balcony 5th,Balcony lights,Lights,light,light.knx_switch_5th_balcony_lights
Balcony 6th,Balcony Plants,Plants,light,light.knx_switch_6th_balcony_plants
Balcony 6th,Balcony Wall,Wall,light,light.knx_switch_6th_balcony_wall
Daniel's Study,L1.104,A/C,climate,climate.l1_104
Daniel's Study,Daniel's Study Daniel Study Blinds,Blinds,cover,cover.daniel_s_study_daniel_study_blinds
Daniel's Study,Daniel Study Closet led,Closet LED,light,light.knx_switch_daniel_study_closet_led
Daniel's Study,Daniel Study Desk light,Desk light,light,light.knx_switch_daniel_study_desk_light
Daniel's Study,Daniel Study Hidden,Hidden,light,light.knx_switch_daniel_study_hidden
Daniel's Study,Daniel Study Strip 1,Strip 1,light,light.knx_dimmer_daniel_study_strip_1
Daniel's Study,Daniel Study Strip 2,Strip 2,light,light.knx_dimmer_daniel_study_strip_2
Daniel's Study,Daniel Study lights,Lights,light,light.knx_dimmer_daniel_study_lights
Daniella's Study,L1.105,A/C,climate,climate.l1_105
Daniella's Study,Daniella's Study Daniella Study Blinds,Blinds,cover,cover.daniella_s_study_daniella_study_blinds
Daniella's Study,Daniella Study Desk,Desk,light,light.knx_switch_daniella_study_desk
Daniella's Study,Daniella Study Hidden,Hidden,light,light.knx_switch_daniella_study_hidden
Daniella's Study,Daniella Study Shelfs led,Shelfs LED,light,light.knx_switch_daniella_study_shelfs_led
Daniella's Study,Daniella Study Spots,Spots,light,light.knx_dimmer_daniella_study_spots
Daniella's Study,Daniella Study Strip,Strip,light,light.knx_switch_daniella_study_strip
Daniella's Study,Daniella Study lights,Lights,light,light.knx_switch_daniella_study_lights
Den,L1.101,A/C,climate,climate.l1_101
Den,Den Blinds,Blinds,cover,cover.den_den_blinds
Den,Den Center Spots,Center Spots,light,light.knx_dimmer_den_center_spots
Den,Den Hidden,Hidden,light,light.knx_switch_den_hidden
Den,Den Sides Spots,Sides Spots,light,light.knx_dimmer_den_sides_spots
Den,Den Strip,Strip,light,light.knx_dimmer_den_strip
Den,Den lights,Lights,light,light.knx_dimmer_den_lights
Den,Games Closet lightstrip,Games Closet lightstrip,light,light.knx_switch_games_closet_lightstrip
Dining,Dining Table,Table,light,light.knx_switch_dining_table
