room,accessory,suggested_name,type,entity_id
Balcony 5th,Balcony lights,Lights,light,light.knx_switch_5th_balcony_lights
Balcony 6th,Balcony Plants,Plants,light,light.knx_switch_6th_balcony_plants
Daniel's Study,L1.104,A/C,climate,climate.l1_104
Daniel's Study,Daniel's Study Daniel Study Blinds,Blinds,cover,cover.daniel_s_study_daniel_study_blinds
Daniel's Study,Daniel Study Hidden,Hidden,light,light.knx_switch_daniel_study_hidden
Daniella's Study,Daniella Study Spots,Spots,light,light.knx_dimmer_daniella_study_spots
Daniella's Study,Daniella Study Strip,Strip,light,light.knx_switch_daniella_study_strip
Daniella's Study,Daniella Study lights,Lights,light,light.knx_switch_daniella_study_lights
Den,Den Hidden,Hidden,light,light.knx_switch_den_hidden
Den,Den lights,Lights,light,light.knx_dimmer_den_lights
Downstairs Toilet,Downstairs Toilet Defog,Defog,light,light.knx_switch_downstairs_toilet_defog
Downstairs Toilet,Downstairs Toilet Hidden,Hidden,light,light.knx_switch_downstairs_toilet_hidden
Downstairs Toilet,Downstairs Toilet Mirror,Mirror,light,light.knx_switch_downstairs_toilet_mirror
Downstairs Toilet,Downstairs Toilet Restroom lights,Restroom lights,light,light.knx_switch_downstairs_toilet_restroom_lights
Entrance,Entrance Night led,Night LED,light,light.knx_switch_entrance_night_led
Entrance,Hall Spots,Hall Spots,light,light.knx_dimmer_hall_spots
Guest Bathroom,Guest Bathroom Spots 1,Spots 1,light,light.knx_switch_guest_bathroom_spots_1
Gym,L1.106,A/C,climate,climate.l1_106
Kitchen,L1.111,A/C 1,climate,climate.l1_111
Kitchen,L1.114,A/C 2,climate,climate.l1_114
Kitchen,L1.115,A/C 3,climate,climate.l1_115
Kitchen,Kitchen Left,Left Blinds,cover,cover.kitchen_kitchen_left
Kitchen,Kitchen Ceiling,Ceiling,light,light.knx_dimmer_kitchen_ceiling
Kitchen,Kitchen Hidden,Hidden,light,light.knx_switch_kitchen_hidden
Kitchen,Kitchen Island,Island,light,light.knx_dimmer_kitchen_island
Kitchen,Kitchen Strip 2,Strip 2,light,light.knx_dimmer_kitchen_strip_2
Large Guest Room,L1.108,A/C,climate,climate.l1_108
Large Guest Room,Large Guest Room Blinds,Blinds,cover,cover.large_guest_room_large_guest_room_blinds
Left Corridor,Left Corridor lights,Lights,light,light.knx_dimmer_left_corridor_lights
Lounge,L1.201,A/C 1,climate,climate.l1_201
Lounge,L1.202,A/C 2,climate,climate.l1_202
Master Bedroom,L1.112,A/C,climate,climate.l1_112
Master Bedroom,Master Bedroom Hidden,Hidden,light,light.knx_switch_master_bedroom_hidden
Master Bedroom,Master Bedroom Strip,Strip,light,light.knx_dimmer_master_bedroom_strip
Master Corridor,Master Corridor Closets Lightstrip,Closets Lightstrip,light,light.knx_switch_master_corridor_closets_lightstrip
Medium Guest Room,L1.102,A/C,climate,climate.l1_102
Medium Guest Room,Medium Guest Room Fan,Fan,light,light.knx_switch_medium_guest_room_fan
Medium Guest Room,Medium Guest Room Reading Left,Reading Left,light,light.knx_switch_medium_guest_room_reading_left
Small Guest Room,Small Guest Room lights,Lights,light,light.knx_dimmer_small_guest_room_lights
Utility Room,Utility Room Lights,Lights,light,light.knx_switch_utility_room_lights
