room,final_name,also_known_as,type,entity_id
Balcony 5th,Lights,Balcony lights,light,light.knx_switch_5th_balcony_lights
Balcony 6th,Plants,Balcony Plants,light,light.knx_switch_6th_balcony_plants
Balcony 6th,Wall,Balcony Wall,light,light.knx_switch_6th_balcony_wall
Daniel's Study,A/C,L1.104,climate,climate.l1_104
Daniel's Study,Blinds,HK Daniel Study Blinds,cover,cover.hk_daniel_study_blinds
Daniel's Study,Closet LED,Daniel Study Closet led,light,light.knx_switch_daniel_study_closet_led
Daniel's Study,Desk light,Daniel Study Desk light,light,light.knx_switch_daniel_study_desk_light
Daniel's Study,Hidden,Daniel Study Hidden,light,light.knx_switch_daniel_study_hidden
Daniel's Study,Lights,Daniel Study lights,light,light.knx_dimmer_daniel_study_lights
Daniel's Study,Strip 1,Daniel Study Strip 1,light,light.knx_dimmer_daniel_study_strip_1
Daniel's Study,Strip 2,Daniel Study Strip 2,light,light.knx_dimmer_daniel_study_strip_2
Daniella's Study,A/C,L1.105,climate,climate.l1_105
Daniella's Study,Blinds,HK Daniella Study Blinds,cover,cover.hk_daniella_study_blinds
Daniella's Study,Desk,Daniella Study Desk,light,light.knx_switch_daniella_study_desk
Daniella's Study,Hidden,Daniella Study Hidden,light,light.knx_switch_daniella_study_hidden
Daniella's Study,Lights,Daniella Study lights,light,light.knx_switch_daniella_study_lights
Daniella's Study,Shelfs LED,Daniella Study Shelfs led,light,light.knx_switch_daniella_study_shelfs_led
Daniella's Study,Spots,Daniella Study Spots,light,light.knx_dimmer_daniella_study_spots
Daniella's Study,Strip,Daniella Study Strip,light,light.knx_switch_daniella_study_strip
Den,A/C,L1.101,climate,climate.l1_101
Den,Blinds,HK Den Blinds,cover,cover.hk_den_blinds
Den,Center Spots,Den Center Spots,light,light.knx_dimmer_den_center_spots
Den,Games Closet lightstrip,Games Closet lightstrip,light,light.knx_switch_games_closet_lightstrip
Den,Hidden,Den Hidden,light,light.knx_switch_den_hidden
Den,Lights,Den lights,light,light.knx_dimmer_den_lights
Den,Sides Spots,Den Sides Spots,light,light.knx_dimmer_den_sides_spots
Den,Strip,Den Strip,light,light.knx_dimmer_den_strip
Dining,Table,Dining Table,light,light.knx_switch_dining_table
Downstairs Toilet,Defog,Downstairs Toilet Defog,light,light.knx_switch_downstairs_toilet_defog
Downstairs Toilet,Hidden,Downstairs Toilet Hidden,light,light.knx_switch_downstairs_toilet_hidden
Downstairs Toilet,Mirror,Downstairs Toilet Mirror,light,light.knx_switch_downstairs_toilet_mirror
Downstairs Toilet,Restroom Spots,Restroom Spots,light,light.knx_dimmer_restroom_spots
Downstairs Toilet,Restroom Vent,Restroom Vent,light,light.knx_switch_restroom_vent
Downstairs Toilet,Restroom lights,Downstairs Toilet Restroom lights,light,light.knx_switch_downstairs_toilet_restroom_lights
Downstairs Toilet,Spots 1,Downstairs Toilet Spots 1,light,light.knx_switch_downstairs_toilet_spots_1
Downstairs Toilet,Spots 2,Downstairs Toilet Spots 2,light,light.knx_switch_downstairs_toilet_spots_2
Downstairs Toilet,Vent,Downstairs Toilet Vent,light,light.knx_switch_downstairs_toilet_vent
Entrance,Hall Spots,Hall Spots,light,light.knx_dimmer_hall_spots
Entrance,Night LED,Entrance Night led,light,light.knx_switch_entrance_night_led
Entrance,Strip,Entrance Strip,light,light.knx_dimmer_entrance_strip
Guest Bathroom,Blinds,HK Guest Bathroom Blinds,cover,cover.hk_guest_bathroom_blinds
Guest Bathroom,Lights,Guest Bathroom lights,light,light.knx_switch_guest_bathroom_lights
Guest Bathroom,Mirror,Guest Bathroom Mirror,light,light.knx_switch_guest_bathroom_mirror
Guest Bathroom,Spots 1,Guest Bathroom Spots 1,light,light.knx_switch_guest_bathroom_spots_1
Guest Bathroom,Spots 2,Guest Bathroom Spots 2,light,light.knx_switch_guest_bathroom_spots_2
Guest Bathroom,Strip,Guest Bathroom Strip,light,light.knx_switch_guest_bathroom_strip
Guest Bathroom,Towel Rail,Guest Bathroom Towel Rail,light,light.knx_switch_guest_bathroom_towel_rail
Guest Bathroom,Vent,Guest Bathroom Vent,light,light.knx_switch_guest_bathroom_vent
Gym,A/C,L1.106,climate,climate.l1_106
Gym,Lights,Gym lights,light,light.knx_dimmer_gym_lights
Housewide (or Default Room),All House Exit,All House Exit,scene switch,light.knx_switch_all_house_exit
Housewide (or Default Room),All House Morning,All House Morning,scene switch,light.knx_switch_all_house_morning
Housewide (or Default Room),All House Night,All House Night,scene switch,light.knx_switch_all_house_night
Housewide (or Default Room),All Rooms closets Lightstrip,All Rooms closets Lightstrip,scene switch,light.knx_switch_all_rooms_closets_lightstrip
Housewide (or Default Room),Main All House,Main All House,scene switch,light.knx_switch_main_all_house
Housewide (or Default Room),Welcome,Welcome,scene switch,light.knx_switch_welcome
Kitchen,A/C 1,L1.111,climate,climate.l1_111
Kitchen,A/C 2,L1.114,climate,climate.l1_114
Kitchen,A/C 3,L1.115,climate,climate.l1_115
Kitchen,Left Blinds,HK Kitchen Left Blinds,cover,cover.hk_kitchen_left_blinds
Kitchen,Right Blinds,HK Kitchen Right Blinds,cover,cover.hk_kitchen_right_blinds
Kitchen,Ceiling,Kitchen Ceiling,light,light.knx_dimmer_kitchen_ceiling
Kitchen,Hidden,Kitchen Hidden,light,light.knx_switch_kitchen_hidden
Kitchen,Island,Kitchen Island,light,light.knx_dimmer_kitchen_island
Kitchen,Sink LED,Kitchen Sink led,light,light.knx_switch_kitchen_sink_led
Kitchen,Strip 1,Kitchen Strip 1,light,light.knx_dimmer_kitchen_strip_1
Kitchen,Strip 2,Kitchen Strip 2,light,light.knx_dimmer_kitchen_strip_2
Large Guest Room,A/C,L1.108,climate,climate.l1_108
Large Guest Room,Blinds,HK Large Guest Room Blinds,cover,cover.hk_large_guest_room_blinds
Large Guest Room,Closets Lightstrip,Large Guest Room Closets Lightstrip,light,light.knx_switch_large_guest_room_closets_lightstrip
Large Guest Room,Fan,Large Guest Room Fan,light,light.knx_switch_large_guest_room_fan
Large Guest Room,Hidden,Large Guest Room Hidden,light,light.knx_switch_large_guest_room_hidden
Large Guest Room,Lights,Large Guest Room lights,light,light.knx_dimmer_large_guest_room_lights
Large Guest Room,Reading Left,Large Guest Room Reading Left,light,light.knx_switch_large_guest_room_reading_left
Large Guest Room,Reading Right,Large Guest Room Reading Right,light,light.knx_dimmer_large_guest_room_reading_right
Large Guest Room,Spots,Large Guest Room Spots,light,light.knx_dimmer_large_guest_room_spots
Large Guest Room,Strip,Large Guest Room Strip,light,light.knx_dimmer_large_guest_room_strip
Left Corridor,Left CorridorNight LED,Left CorridorNight led,light,light.knx_switch_left_corridornight_led
Left Corridor,Lights,Left Corridor lights,light,light.knx_dimmer_left_corridor_lights
Lounge,A/C 1,L1.201,climate,climate.l1_201
Lounge,A/C 2,L1.202,climate,climate.l1_202
Lounge,Left Blinds,HK Lounge Left Blinds,cover,cover.hk_lounge_left_blinds
Lounge,Right Blinds,HK Lounge Right Blinds,cover,cover.hk_lounge_right_blinds
Lounge,Closet Led,Lounge Closet Led,light,light.knx_switch_lounge_closet_led
Lounge,Cove,Lounge Cove,light,light.knx_dimmer_lounge_cove
Lounge,Hidden,Lounge Hidden,light,light.knx_switch_lounge_hidden
Lounge,Spots,Lounge Spots,light,light.knx_dimmer_lounge_spots
Lounge,Strip,Lounge Strip,light,light.knx_dimmer_lounge_strip
Lounge,TV Led,Lounge TV Led,light,light.knx_switch_lounge_tv_led
Master Bathroom,Hidden,Master Bathroom Hidden,light,light.knx_switch_master_bathroom_hidden
Master Bathroom,Lights,Master Bathroom Lights,light,light.knx_switch_master_bathroom_lights
Master Bathroom,Mirror,Master Bathroom Mirror,light,light.knx_switch_master_bathroom_mirror
Master Bathroom,Night Light,Master Bathroom Night Light,light,light.knx_switch_master_bathroom_night_light
Master Bathroom,Strip,Master Bathroom Strip,light,light.knx_dimmer_master_bathroom_strip
Master Bathroom,Towel Rail,Master Bathroom Towel Rail,light,light.knx_switch_master_bathroom_towel_rail
Master Bathroom,Vent,Master Bathroom Vent,light,light.knx_switch_master_bathroom_vent
Master Bedroom,A/C,L1.112,climate,climate.l1_112
Master Bedroom,Balcony Left,HK Master Bedroom Balcony Left,cover,cover.hk_master_bedroom_balcony_left
Master Bedroom,Balcony Right,HK Master Bedroom Balcony Right,cover,cover.hk_master_bedroom_balcony_right
Master Bedroom,Window,HK Master Bedroom Window,cover,cover.hk_master_bedroom_window
Master Bedroom,Closets Lightstrip,Master Bedroom Closets Lightstrip,light,light.knx_switch_master_bedroom_closets_lightstrip
Master Bedroom,Closets Strip,Master Bedroom Closets Strip,light,light.knx_switch_master_bedroom_closets_strip
Master Bedroom,Hidden,Master Bedroom Hidden,light,light.knx_switch_master_bedroom_hidden
Master Bedroom,Lights,Master Bedroom Lights,light,light.knx_dimmer_master_bedroom_lights
Master Bedroom,Read Left,Master Bedroom Read Left,light,light.knx_switch_master_bedroom_read_left
Master Bedroom,Read Right,Master Bedroom Read Right,light,light.knx_switch_master_bedroom_read_right
Master Bedroom,Spots,Master Bedroom Spots,light,light.knx_dimmer_master_bedroom_spots
Master Bedroom,Strip,Master Bedroom Strip,light,light.knx_dimmer_master_bedroom_strip
Master Bedroom,TV Lift,MBR TV Lift,light,light.knx_switch_mbr_tv_lift
Master Corridor,Closets Lightstrip,Master Corridor Closets Lightstrip,light,light.knx_switch_master_corridor_closets_lightstrip
Master Corridor,Lights,Master Corridor Lights,light,light.knx_dimmer_master_corridor_lights
Medium Guest Room,A/C,L1.102,climate,climate.l1_102
Medium Guest Room,Blinds,HK Medium Guest Room Blinds,cover,cover.hk_medium_guest_room_blinds
Medium Guest Room,Closets Lightstrip,Medium Guest Room Closets Lightstrip,light,light.knx_switch_medium_guest_room_closets_lightstrip
Medium Guest Room,Fan,Medium Guest Room Fan,light,light.knx_switch_medium_guest_room_fan
Medium Guest Room,Hidden,Medium Guest Room Hidden,light,light.knx_switch_medium_guest_room_hidden
Medium Guest Room,Lights,Medium Guest Room lights,light,light.knx_switch_medium_guest_room_lights
Medium Guest Room,Reading Left,Medium Guest Room Reading Left,light,light.knx_switch_medium_guest_room_reading_left
Medium Guest Room,Reading Right,Medium Guest Room Reading Right,light,light.knx_switch_medium_guest_room_reading_right
Medium Guest Room,Spots,Medium Guest Room Spots,light,light.knx_dimmer_medium_guest_room_spots
Medium Guest Room,Strip,Medium Guest Room Strip,light,light.knx_dimmer_medium_guest_room_strip
Right Corridor,Lights,Right Corridor lights,light,light.knx_dimmer_right_corridor_lights
Right Corridor,Night LED,Right Corridor Night led,light,light.knx_switch_right_corridor_night_led
Sauna,A/C,L1.103,climate,climate.l1_103
Sauna,Spots,Sauna Spots,light,light.knx_dimmer_sauna_spots
Small Guest Room,A/C,L1.107,climate,climate.l1_107
Small Guest Room,Closets Lightstrip,Small Guest Room Closets Lightstrip,light,light.knx_switch_small_guest_room_closets_lightstrip
Small Guest Room,Fan,Small Guest Room Fan,light,light.knx_switch_small_guest_room_fan
Small Guest Room,Lights,Small Guest Room lights,light,light.knx_dimmer_small_guest_room_lights
Small Guest Room,Reading light,Small Guest Room Reading light,light,light.knx_switch_small_guest_room_reading_light
Small Guest Room,Small Guest RoomHidden,Small Guest RoomHidden,light,light.knx_switch_small_guest_roomhidden
Small Guest Room,Spots,Small Guest Room Spots,light,light.knx_dimmer_small_guest_room_spots
Small Guest Room,Strip,Small Guest Room Strip,light,light.knx_dimmer_small_guest_room_strip
Stairs & Landing,Landing lights,Landing lights,light,light.knx_dimmer_landing_lights
Stairs & Landing,Stairs,Stairs,light,light.knx_dimmer_stairs
Terrace,Fan,Terrace Fan,light,light.knx_switch_terrace_fan
Terrace,Heating,Terrace Heating,light,light.knx_switch_terrace_heating
Terrace,Lights,Terrace Lights,light,light.knx_switch_terrace_lights
Utility Room,Hall,Utility Room Hall,light,light.knx_switch_utility_room_hall
Utility Room,Lights,Utility Room Lights,light,light.knx_switch_utility_room_lights
Utility Room,Spot,Utility Room Spot,light,light.knx_switch_utility_room_spot
Utility Room,Strip,Utility Room Strip,light,light.knx_switch_utility_room_strip
